hiTemp,loTemp,ppt,snow,date,moonPhase
33.1,22.1,0.0,0.0,2015-01-01,82.42227935791016
41.0,31.1,0.0,0.0,2015-01-02,89.61190032958984
37.0,22.1,0.62,1.42,2015-01-03,94.97469329833984
52.0,35.1,0.57,0.0,2015-01-04,98.37516021728516
50.0,17.2,0.0,0.0,2015-01-05,99.7704086303711
18.1,15.3,0.02,0.2,2015-01-06,99.20208740234375
26.2,4.1,0.0,0.0,2015-01-07,96.78215789794922
19.2,-0.8,0.0,0.0,2015-01-08,92.6743392944336
30.2,19.2,0.01,0.2,2015-01-09,87.07465362548828
24.3,17.2,0.0,0.0,2015-01-10,80.19503784179688
33.1,15.3,0.0,0.0,2015-01-11,72.25320434570312
37.9,33.1,0.2,0.0,2015-01-12,63.4707145690918
35.1,15.3,0.0,0.0,2015-01-13,54.0799446105957
25.2,14.2,0.0,0.0,2015-01-14,44.3390998840332
31.1,25.2,0.12,0.79,2015-01-15,34.55321502685547
37.9,15.3,0.0,0.0,2015-01-16,25.096385955810547
22.1,9.1,0.0,0.0,2015-01-17,16.426856994628906
51.1,20.1,0.15,0.0,2015-01-18,9.082176208496094
46.0,32.0,0.0,0.0,2015-01-19,3.640153646469116
39.0,27.1,0.0,0.0,2015-01-20,0.6382032036781311
34.0,22.1,0.0,0.0,2015-01-21,0.4627806842327118
37.0,29.1,0.0,0.0,2015-01-22,3.2453503608703613
37.0,24.3,0.0,0.0,2015-01-23,8.811934471130371
34.0,31.1,0.71,5.12,2015-01-24,16.713167190551758
37.9,19.2,0.0,0.0,2015-01-25,26.320537567138672
29.1,11.1,0.1,2.28,2015-01-26,36.94398498535156
19.2,14.2,0.95,22.09,2015-01-27,47.92728042602539
24.3,13.1,0.01,0.2,2015-01-28,58.7016716003418
32.0,10.2,0.0,0.0,2015-01-29,68.8018798828125
34.0,19.2,0.06,0.71,2015-01-30,77.85973358154297
21.2,11.1,0.05,1.3,2015-01-31,85.59010314941406
30.2,12.2,0.0,0.0,2015-02-01,91.77835083007812
31.1,10.2,0.78,16.18,2015-02-02,96.27249908447266
22.1,6.3,0.0,0.0,2015-02-03,98.97958374023438
37.9,14.2,0.01,0.0,2015-02-04,99.86357879638672
36.0,7.2,0.09,0.79,2015-02-05,98.94246673583984
21.2,5.2,0.0,0.0,2015-02-06,96.28267669677734
29.1,16.2,0.07,0.91,2015-02-07,91.9910888671875
29.1,13.1,0.37,7.4,2015-02-08,86.20626831054688
25.2,14.2,0.88,14.8,2015-02-09,79.09134674072266
30.2,14.2,0.05,0.71,2015-02-10,70.83149719238281
25.2,14.2,0.01,0.51,2015-02-11,61.63817596435547
30.2,16.2,0.03,0.98,2015-02-12,51.761566162109375
22.1,7.2,0.0,0.0,2015-02-13,41.51068115234375
30.2,3.2,0.23,3.19,2015-02-14,31.27744483947754
20.1,-1.8,0.39,12.99,2015-02-15,21.555986404418945
19.2,-2.7,0.0,0.0,2015-02-16,12.942314147949219
23.2,10.2,0.02,0.59,2015-02-17,6.095772743225098
29.1,17.2,0.01,0.0,2015-02-18,1.6503132581710815
30.2,10.2,0.06,2.4,2015-02-19,0.08646591752767563
20.1,5.2,0.0,0.0,2015-02-20,1.6072529554367065
34.0,4.1,0.17,1.1,2015-02-21,6.076538562774658
